,Titel,Link,Laufzeit
0,Die Faszination der verborgenen Dimension Fraktale,https://www.youtube.com/watch?v=Mg-N82qhatc&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=2&t=0s,50:20
1,Die Geheimnisse der Mathematik Doku,https://www.youtube.com/watch?v=6LuuDv7uOdI&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=3&t=0s,53:02
2,Einsteins grosse Idee - Die Formel die die Welt veränderte [Dokumentation deutsch],https://www.youtube.com/watch?v=QhefErib7aY&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=4&t=0s,1:43:56
3,Kathedralen,https://www.youtube.com/watch?v=k7Wh_-02MaI&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=5&t=0s,1:20:46
4,Überwacht: Sieben Milliarden im Visier | Doku | ARTE,https://www.youtube.com/watch?v=ubePmAtsBsQ&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=6&t=0s,1:29:27
5,Seidenstraße 2.0 - Chinas Weg zur Weltspitze | Arte Doku [HD],https://www.youtube.com/watch?v=zIohEPWrdx8&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=7&t=0s,53:45
6,Tiananmen Der Platz des himmlischen Friedens,https://www.youtube.com/watch?v=gEhBm0XNqBs&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=8&t=0s,44:07
7,China - Das Massaker auf dem Platz des Himmlischen Friedens 1989 - deutsch,https://www.youtube.com/watch?v=3Nho_9qC_yA&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=9&t=0s,25:15
8,Hongkonger Polizei verhindert Gedenken an das Massaker auf dem Platz des Himmlischen Friedens 1989,https://www.youtube.com/watch?v=dPEAZqvvXq8&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=10&t=0s,2:25
9,Chinas mediale Gegenwelt | Doku | ARTE,https://www.youtube.com/watch?v=OS_UcAVWQs8&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=11&t=0s,27:48
10,"Der ""Schwulen-Paragraf"" | Doku",https://www.youtube.com/watch?v=eUUfUh0P9HI&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=12&t=0s,44:25
11,"Persönlichkeitsentwicklung - Genetische Veranlagung (Doku, Arte 2015)",https://www.youtube.com/watch?v=VXxi1wSS8gM&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=13&t=0s,51:58
12,Die Eloquenz der Gehörlosen | Doku | ARTE,https://www.youtube.com/watch?v=daGh1G0t8sU&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=14&t=0s,50:29
13,Kopfkino - Die unbekannte Welt der Klarträumer ( arte DOKU ),https://www.youtube.com/watch?v=s1p4GC9ziNA&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=15&t=0s,52:14
14,Die Geschichte der Engel,https://www.youtube.com/watch?v=ZkGuIYLBP1o&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=16&t=0s,52:06
15,Der Zeit voraus: 5 bahnbrechende Erfindungen | Doku | ARTE,https://www.youtube.com/watch?v=Yzcr2C_UQFk&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=17&t=0s,20:46
16,"Die heilsame Kraft der Meditation ( Arte Doku, HD )",https://www.youtube.com/watch?v=_5SOsXqpptI&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=18&t=0s,50:33
17,Schattenwelt BND Bundesnachrichtendienst   Doku Arte Juli 2016,https://www.youtube.com/watch?v=Mt9xXCWYZrw&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=19&t=0s,1:29:45
18,Dienstbereit Nazis und Faschisten im Auftrag der CIA   Arte Doku,https://www.youtube.com/watch?v=8S6Vrjvric8&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=20&t=0s,51:35
19,Die Atombombe Doku/Dokumentation HD,https://www.youtube.com/watch?v=Yh2w5r_1kog&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=21&t=0s,1:36:55
20,1983. Am atomaren Abgrund,https://www.youtube.com/watch?v=yxRY7J0Jqxg&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=22&t=0s,1:13:14
21,"1983 Atomkrieg aus Versehen, BBC Dokumentation 2007,  Stanislaw Petrov",https://www.youtube.com/watch?v=zSPc1KP3q4I&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=23&t=0s,1:12:59
22,So wäre ein Atomkrieg - Clixoom Science & Fiction,https://www.youtube.com/watch?v=RSyJ80vSAso&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=24&t=0s,7:37
23,Atombombe : Die mächtigste Bombe der Welt - [DokuArea],https://www.youtube.com/watch?v=t-E_esKomY0&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=25&t=0s,52:17
24,Doku German ARTE - Atombombenversuche Nevada 1950 - 1992,https://www.youtube.com/watch?v=zE_q0IWNoMc&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=26&t=0s,42:02
25,Täuschung - Die Methode Reagan // Arte Doku 2015,https://www.youtube.com/watch?v=r98lEzIlp8k&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=27&t=0s,52:14
26,Doku German ARTE - Radioaktiv verseuchte Orte in Deutschland,https://www.youtube.com/watch?v=Ainw18HVugY&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=28&t=0s,1:15:06
27,Doku German ARTE - Atombombenversuche Kasachstan 1949 -1989,https://www.youtube.com/watch?v=RgsKAo-xMZI&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=29&t=0s,43:00
28,Die Atombombe im Vorgarten - Dokumentation HD,https://www.youtube.com/watch?v=XWgksgnED6A&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=30&t=0s,51:52
29,Doku German ARTE - Uran ein Metall wird zur Bombe Teil 1,https://www.youtube.com/watch?v=xy2okUKQBSQ&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=31&t=0s,51:55
30,Doku German ARTE - Uran ein Metall wird zur Bombe Teil 2,https://www.youtube.com/watch?v=JkN5K-QnxGA&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=32&t=0s,43:43
31,Doku German ARTE - Uran ein Metall wird zur Bombe Teil 1,https://www.youtube.com/watch?v=XbCMJZCEdoI&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=33&t=0s,2:28:59
32,Atombombe - Die mächtigste Bombe der Welt Doku HD,https://www.youtube.com/watch?v=QOSxSE0k-XY&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=34&t=0s,1:28:11
33,Dokumentarfilm - Sand   Die neue Umweltzeitbombe   Arte Doku 2013 HD,https://www.youtube.com/watch?v=T801BaCGJlk&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=35&t=0s,1:14:01
34,Warum kopiert der Iran soziale Netzwerke? | Alle Internetze | ARTE,https://www.youtube.com/watch?v=zHKUa28ET9A&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=36&t=0s,6:24
35,Terror: Atomkraftwerke im Visier | Doku | ARTE,https://www.youtube.com/watch?v=XyC9ijOK9mI&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=37&t=0s,1:44:04
36,Tag der Wahrheit | Arte Mediathek,https://www.youtube.com/watch?v=n1vUEmZCPjE&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=38&t=0s,1:28:14
37,"""The Bomb"" (Documentary) Nuclear weapons - BBC 2017",https://www.youtube.com/watch?v=Qrze43Uchm8&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=39&t=0s,1:55:06
38,Beruf Bulle: Der Alltag französischer Polizisten | Doku | ARTE,https://www.youtube.com/watch?v=AzyIXg4w_Dk&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=40&t=0s,55:52
39,Starbucks ungefiltert - Die bittere Wahrheit hinter dem Erfolg | Doku | ARTE,https://www.youtube.com/watch?v=hC65nHwAg9g&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=41&t=0s,1:33:56
40,Der Kapitalismus - Arte Doku - Teil 1,https://www.youtube.com/watch?v=BPqK_sh35zA&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=42&t=0s,51:56
41,Der Kapitalismus - Arte Doku - Teil 2,https://www.youtube.com/watch?v=hDw85kcfCLQ&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=43&t=0s,51:55
42,Der große Reibach -- Die Entwicklung des Finanzkapitalismus [Doku/ARTE],https://www.youtube.com/watch?v=JyTWr3JqBck&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=44&t=0s,2:20:58
43,Reich und schön: Eine Jugend im Pariser Nobelviertel | Doku | ARTE,https://www.youtube.com/watch?v=21OqoXA8lfI&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=45&t=0s,1:25:32
44,Die Bio Lüge - Die Öko Verschwörung   - Arte Dokumentation 2018 Doku,https://www.youtube.com/watch?v=O6QiTnL9Lfc&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=46&t=0s,1:29:35
45,"Erinnerungen - Wie wir uns irren (Doku, arte)",https://www.youtube.com/watch?v=Nl9ZUMLjrBw&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=47&t=0s,52:57
46,Die wahre Geschichte des Golfkrieges ARTE Doku,https://www.youtube.com/watch?v=QzHgmD4dDmA&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=48&t=0s,59:49
47,1979 Der Afghanistan Krieg verändert die Welt ARTE HD DOKU Sowjetunion in Afghanistan,https://www.youtube.com/watch?v=FOlCOBRb_kQ&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=49&t=0s,57:46
48,Arte+7 Irak 2003 Die Kehrseite des Krieges (1-2),https://www.youtube.com/watch?v=cFfrMKuJGQI&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=50&t=0s,1:07:35
49,Verdun   Sie werden nicht durchkommen   Doku 2017 NEU in HD,https://www.youtube.com/watch?v=UaWcP9Jxi8A&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=51&t=0s,1:21:07
50,Das Recht der Macht (Arte Doku HD),https://www.youtube.com/watch?v=bsjxAD45HUs&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=52&t=0s,1:29:37
51,Kriegsverbrecher Henry Kissinger (Arte Doku; volle Länge),https://www.youtube.com/watch?v=Jr3jU7-HvIs&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=53&t=0s,1:19:21
52,Arte Doku: Geschichte des 20. Jahrhunderts: Der Hitler-Stalin-Pakt,https://www.youtube.com/watch?v=eyIX1Ghr9Vs&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=54&t=0s,1:42:14
53,Bundestag erinnert an Opfer der NS-Zeit: Rede von Saul Friedländer,https://www.youtube.com/watch?v=Ejc3apj30Zk&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=55&t=0s,25:58
54,Der Anständige - Heinrich Himmler | Arte Doku,https://www.youtube.com/watch?v=oyU1VaR-YQU&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=56&t=0s,1:32:48
55,Die Geschichte des John Demjanjuk deutsch,https://www.youtube.com/watch?v=5T7cYiTPFdE&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=57&t=0s,44:56
56,Das ander Nürnberg   Death by hanging Doku 720p,https://www.youtube.com/watch?v=nlpqRU2iAF8&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=58&t=0s,57:44
57,Der Jahrhundertprozess - Das Nürnberger Tribunal aus prominenter Sicht (HD - Doku),https://www.youtube.com/watch?v=myIKaTHD_0Y&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=59&t=0s,53:17
58,Helden der Aufklärung - Die Macht des Wissens (1/2),https://www.youtube.com/watch?v=V4QTuenVsSI&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=60&t=0s,52:01
59,Helden der Aufklärung - Die Macht des Wissens (2/2),https://www.youtube.com/watch?v=Tb6lmaFbgSQ&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=61&t=0s,51:49
60,Geschichte der Aufklärung,https://www.youtube.com/watch?v=blu_gqMoIjs&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=62&t=0s,1:38:32
61,Kopernikanische Revolution und moderne Naturwissenschaft,https://www.youtube.com/watch?v=QJqcmSIb32k&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=63&t=0s,51:08
62,"Der Kapitalismus - Karl Polanyi, Wirtschaft als Teil des menschlichen Kulturschaffens",https://www.youtube.com/watch?v=L5H-yzQY1ZE&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=64&t=0s,51:51
63,Zwischen Himmel und Erde: Isaac Newton - Das Universum in Gleichungen Doku (2014),https://www.youtube.com/watch?v=izt-aAzbk0c&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=65&t=0s,1:59:09
64,Walter Benjamin zum Gedächtnis 1/4,https://www.youtube.com/watch?v=WwdjcXJZ94Q&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=66&t=0s,13:17
65,Walter Benjamin zum Gedächtnis 2/4,https://www.youtube.com/watch?v=OOW0Lq7GMbs&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=67&t=0s,14:35
66,Walter Benjamin zum Gedächtnis 3/4,https://www.youtube.com/watch?v=uxkaKJhYvW8&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=68&t=0s,12:45
67,Walter Benjamin zum Gedächtnis 4/4,https://www.youtube.com/watch?v=84HDpaciGTw&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=69&t=0s,12:18
68,Otto Dix - Der schonungslose Maler,https://www.youtube.com/watch?v=9pNtQ2Mg0js&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=70&t=0s,52:38
69,Salvador Dalí - Beständigkeit der Erinnerung,https://www.youtube.com/watch?v=BJ4cIxfGKVk&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=71&t=0s,1:13:47
70,Im Rausch - Eine etwas andere Kulturgeschichte - Part 1 - German - Arte - Doku,https://www.youtube.com/watch?v=a6FBK-tj-ig&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=72&t=0s,55:00
71,Im Rausch - Eine etwas andere Kulturgeschichte - Part 2 - German - Arte - Doku,https://www.youtube.com/watch?v=GdGL5af-DH4&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=73&t=0s,57:52
72,arte Doku - Gehirn unter Drogen Halluzinogene und Ecstasy - Angriff aufs Bewusstsein,https://www.youtube.com/watch?v=FOlgZ7TfkBY&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=74&t=0s,43:02
73,arte Das Hieronymus Bosch Mysterium,https://www.youtube.com/watch?v=mi86ZHmLu4Y&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=75&t=0s,1:24:04
74,Die Geheimnisse der Meisterwerke - Rembrandt,https://www.youtube.com/watch?v=3hapqst6HTQ&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=76&t=0s,43:15
75,Picasso - Kunst als politische  Waffe,https://www.youtube.com/watch?v=qE9qKP37xEE&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=77&t=0s,51:52
76,Die Geheimnisse der Meisterwerke - Leonardo da Vinci,https://www.youtube.com/watch?v=ePtZT6Dt5zo&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=78&t=0s,42:56
77,"(HD) Hundert Meisterwerke und ihre Geheimnisse - Der Frühling, 1482, Sandro Botticelli (DOKU)",https://www.youtube.com/watch?v=WkrfLgsZgb0&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=79&t=0s,25:58
78,Ich Leonardo Da Vinci German Doku,https://www.youtube.com/watch?v=AvQY0cI19-I&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=80&t=0s,2:02:46
79,Künstliche Intelligenz malt neuen Rembrandt - FUTUREMAG - ARTE,https://www.youtube.com/watch?v=RxK2k3tHbFI&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=81&t=0s,8:09
80,DOKU 2019 - Unglaubliche ENTDECKUNG im WELTRAUM | UNIVERSUM | [DEUTSCH/GERMAN] [HD],https://www.youtube.com/watch?v=jHWEFNVTkMg&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=82&t=0s,1:06:35
81,Pink Floyd - Wish You Were Here Doku - Deutsch,https://www.youtube.com/watch?v=dOyHnuVS9Yk&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=83&t=0s,59:34
82,Epochen der Musikgeschichte 1/4: Barock Doku (2014),https://www.youtube.com/watch?v=DLYb2kXHaTk&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=84&t=0s,2:25:19
83,Epochen der Musikgeschichte 3/4: Die Romantik Doku (2015),https://www.youtube.com/watch?v=AYgH9gLkf7Y&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=85&t=0s,2:26:25
84,Epochen der Musikgeschichte 4/4: Die Moderne Doku (2015),https://www.youtube.com/watch?v=o8kyMTLkf-w&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=86&t=0s,2:39:51
85,Die Natur im Amazonas-Delta | Doku | ARTE,https://www.youtube.com/watch?v=vSUB0mse-40&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=87&t=0s,43:06
86,"""War Requiem"" by Benjamin Britten - NDR Radiophilharmonie – ARTE Concert",https://www.youtube.com/watch?v=Fdxk0QOeW6c&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=88&t=0s,1:37:26
87,Noten und Neuronen Doku,https://www.youtube.com/watch?v=9JEPa4uAuv0&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=89&t=0s,1:41:26
88,Europawahl: Das fordern die europäischen Parteien | ARTE Journal,https://www.youtube.com/watch?v=7ZQGn7-QHs4&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=90&t=0s,12:57
89,Eine überschätzte Spezies | Doku | ARTE,https://www.youtube.com/watch?v=nLEtkmVUMfU&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=91&t=0s,30:00
90,Tiananmen Square 1989 Protests Documentary,https://www.youtube.com/watch?v=17-NlFVZqTM&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=92&t=0s,2:20:42
91,"""Tank man"" Tiananmen Square time lapse painting 1989",https://www.youtube.com/watch?v=SbDxFTLFh0s&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=93&t=0s,0:44
92,The Story Behind the 'Tank Man' Photo,https://www.youtube.com/watch?v=064CGitB9pY&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=94&t=0s,2:31
93,Tiananmen-Massaker 1989 - noch immer keine Diskussion erlaubt,https://www.youtube.com/watch?v=5CflQey_Meo&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=95&t=0s,3:17
94,China - Die Welt des Xi Jinping,https://www.youtube.com/watch?v=ABbacXcp80I&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=96&t=0s,1:14:50
95,China gegen Falun Gong - 20 Jahre Verfolgung und Propaganda | ARTE Reportage,https://www.youtube.com/watch?v=bJAoZYpO_GI&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=97&t=0s,29:48
96,China: Die Uiguren – ein Volk in Gefahr | ARTE Reportage,https://www.youtube.com/watch?v=6OTvyejwJXc&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=98&t=0s,24:25
97,Kampf um Tibet - Die chinesische Lüge [Arte Dokumentation deutsch],https://www.youtube.com/watch?v=xOiaGwyJEsI&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=99&t=0s,51:42
98,"Tiananmen, l'événement que la Chine veut effacer | ARTE",https://www.youtube.com/watch?v=nnmrSfFQ0fI&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=100&t=0s,7:58
99,Vor 30 Jahren: Massaker am Tian'anmen-Platz in Peking,https://www.youtube.com/watch?v=2Gpod1FBwcU&list=PLfdMKJMGPPtw460zOmLX3v7qj_9ADmSrQ&index=101&t=0s,9:21
